兑换码          开始日期       结束日期      金币ID  奖励数量min 奖励数量max  使用次数 
36208194       2019-05-14     2019-05-17     0         20000     20000     		1000      
73694041       2019-05-15     2019-05-18     0         20000     20000     		1000      
18979276       2019-05-16     2019-05-19     0         20000     20000     		1000      
24926846       2019-05-17     2019-05-20     0         20000     20000     		1000      
82494470       2019-05-18     2019-05-21     0         20000     20000     		1000      
34892656       2019-05-19     2019-05-22     0         20000     20000     		1000      
77619078       2019-05-20     2019-05-23     0         20000     20000     		1000      
82680876       2019-05-21     2019-05-24     0         20000     20000     		1000      
61572311       2019-05-22     2019-05-25     0         20000     20000     		1000      
34835773       2019-05-23     2019-05-26     0         20000     20000     		1000      
1416864        2019-05-24     2019-05-27     0         20000     20000     		1000      
3344833        2019-05-25     2019-05-28     0         20000     20000     		1000      
59884261       2019-05-26     2019-05-29     0         20000     20000     		1000      
18335038       2019-05-27     2019-05-30     0         20000     20000     		1000      
41283009       2019-05-28     2019-05-31     0         20000     20000     		1000      
42166999       2019-05-29     2019-06-01     0         20000     20000     		1000      
93260571       2019-05-30     2019-06-02     0         20000     20000     		1000      
60761639       2019-05-31     2019-06-03     0         20000     20000     		1000      
42792981       2019-06-01     2019-06-04     0         20000     20000     		1000      
73509010       2019-06-02     2019-06-05     0         20000     20000     		1000      
15355485       2019-06-03     2019-06-06     0         20000     20000     		1000      
13457840       2019-06-04     2019-06-07     0         20000     20000     		1000      
35075344       2019-06-05     2019-06-08     0         20000     20000     		1000      
39426963       2019-06-06     2019-06-09     0         20000     20000     		1000      
86381459       2019-06-07     2019-06-10     0         20000     20000     		1000      
32872636       2019-06-08     2019-06-11     0         20000     20000     		1000      
13100265       2019-06-09     2019-06-12     0         20000     20000     		1000      
87616227       2019-06-10     2019-06-13     0         20000     20000     		1000      
87033588       2019-06-11     2019-06-14     0         20000     20000     		1000      
23552408       2019-06-12     2019-06-15     0         20000     20000     		1000      
8794002        2019-06-13     2019-06-16     0         20000     20000     		1000      
2965060        2019-06-14     2019-06-17     0         20000     20000     		1000      
12926395       2019-06-15     2019-06-18     0         20000     20000     		1000      
22378063       2019-06-16     2019-06-19     0         20000     20000     		1000      
66367417       2019-06-17     2019-06-20     0         20000     20000     		1000      
25984989       2019-06-18     2019-06-21     0         20000     20000     		1000      
34911210       2019-06-19     2019-06-22     0         20000     20000     		1000      
59257293       2019-06-20     2019-06-23     0         20000     20000     		1000      
23813785       2019-06-21     2019-06-24     0         20000     20000     		1000      
78897738       2019-06-22     2019-06-25     0         20000     20000     		1000      
87161720       2019-06-23     2019-06-26     0         20000     20000     		1000      
1470184        2019-06-24     2019-06-27     0         20000     20000     		1000      
56459846       2019-06-25     2019-06-28     0         20000     20000     		1000      
83272901       2019-06-26     2019-06-29     0         20000     20000     		1000      
24345553       2019-06-27     2019-06-30     0         20000     20000     		1000      
6255983        2019-06-28     2019-07-01     0         20000     20000     		1000      
44583342       2019-06-29     2019-07-02     0         20000     20000     		1000      
39185637       2019-06-30     2019-07-03     0         20000     20000     		1000      
67682743       2019-07-01     2019-07-04     0         20000     20000     		1000      
76297521       2019-07-02     2019-07-05     0         20000     20000     		1000      
88532228       2019-07-03     2019-07-06     0         20000     20000     		1000      
18375864       2019-07-04     2019-07-07     0         20000     20000     		1000      
32460513       2019-07-05     2019-07-08     0         20000     20000     		1000      
10547404       2019-07-06     2019-07-09     0         20000     20000     		1000      
79494458       2019-07-07     2019-07-10     0         20000     20000     		1000      
21146872       2019-07-08     2019-07-11     0         20000     20000     		1000      
67290058       2019-07-09     2019-07-12     0         20000     20000     		1000      
86269446       2019-07-10     2019-07-13     0         20000     20000     		1000      
14626041       2019-07-11     2019-07-14     0         20000     20000     		1000      
22967003       2019-07-12     2019-07-15     0         20000     20000     		1000      
56378758       2019-07-13     2019-07-16     0         20000     20000     		1000      
62928454       2019-07-14     2019-07-17     0         20000     20000     		1000      
20494341       2019-07-15     2019-07-18     0         20000     20000     		1000      
90282649       2019-07-16     2019-07-19     0         20000     20000     		1000      
46604606       2019-07-17     2019-07-20     0         20000     20000     		1000      
52273553       2019-07-18     2019-07-21     0         20000     20000     		1000      
36875024       2019-07-19     2019-07-22     0         20000     20000     		1000      
70940068       2019-07-20     2019-07-23     0         20000     20000     		1000      
79673859       2019-07-21     2019-07-24     0         20000     20000     		1000      
13652773       2019-07-22     2019-07-25     0         20000     20000     		1000      
56890742       2019-07-23     2019-07-26     0         20000     20000     		1000      
33671103       2019-07-24     2019-07-27     0         20000     20000     		1000      
21807476       2019-07-25     2019-07-28     0         20000     20000     		1000      
11132599       2019-07-26     2019-07-29     0         20000     20000     		1000      
85629449       2019-07-27     2019-07-30     0         20000     20000     		1000      
28662396       2019-07-28     2019-07-31     0         20000     20000     		1000      
86232482       2019-07-29     2019-08-01     0         20000     20000     		1000      
7038069        2019-07-30     2019-08-02     0         20000     20000     		1000      
23111037       2019-07-31     2019-08-03     0         20000     20000     		1000      
4013162        2019-08-01     2019-08-04     0         20000     20000     		1000      
56871766       2019-08-02     2019-08-05     0         20000     20000     		1000      
51809624       2019-08-03     2019-08-06     0         20000     20000     		1000      
95608908       2019-08-04     2019-08-07     0         20000     20000     		1000      
29225714       2019-08-05     2019-08-08     0         20000     20000     		1000      
40750860       2019-08-06     2019-08-09     0         20000     20000     		1000      
7344165        2019-08-07     2019-08-10     0         20000     20000     		1000      
9142333        2019-08-08     2019-08-11     0         20000     20000     		1000      
33769287       2019-08-09     2019-08-12     0         20000     20000     		1000      
